pdr,tx,rx,delay_ms,ctrl_tx,ctrl_rx,ctrl_dropped,scenario
0.995257,3584,3567,5.31939,0,0,0,RPL
0.991908,3584,3555,13.8703,76000,5899,0,InsecRPL
0.994699,3584,3565,5.6229499999999994,368,63,304,SecRPL
